user_id,created_at,currency,amount,status,payer,country,remarks
1,02-11-2024 10:15,USD,1200,received,Stripe Inc,US,Consulting payment
1,05-11-2024 14:20,EUR,850,received,Client GmbH,DE,Design project
1,12-11-2024 09:30,INR,45000,received,ABC Pvt Ltd,IN,Retainer
1,18-11-2024 16:45,GBP,600,received,London Co,GB,Marketing work
1,25-11-2024 11:10,USD,2200,received,Tech Corp,US,Development
2,03-11-2024 12:00,INR,30000,received,XYZ Solutions,IN,Support
2,10-11-2024 15:30,USD,1500,received,Global LLC,US,Analytics
2,15-11-2024 13:10,EUR,950,received,Berlin Tech,DE,Audit
2,20-11-2024 09:50,GBP,700,pending,UK Ventures,GB,Consulting
2,28-11-2024 17:25,USD,1800,received,Startup Hub,US,Integration
3,04-11-2024 10:40,EUR,1200,received,Paris SAS,FR,Product work
3,11-11-2024 14:15,USD,2500,received,NY Enterprises,US,Contract
3,16-11-2024 08:20,INR,52000,received,FinEdge Pvt Ltd,IN,Advisory
3,22-11-2024 18:00,GBP,400,pending,Manchester Ltd,GB,Partial
3,27-11-2024 16:10,USD,1900,received,CloudBase,US,Migration
4,01-11-2024 09:00,INR,60000,received,Delta Systems,IN,Consulting
4,08-11-2024 13:35,USD,2100,received,Silicon LLC,US,Feature build
4,14-11-2024 11:45,EUR,780,received,Munich Labs,DE,Prototype
4,19-11-2024 15:20,GBP,920,received,Bristol Co,GB,Design
4,26-11-2024 10:30,USD,1750,pending,Alpha Inc,US,Phase 2
1,03-12-2024 12:10,USD,2400,received,Stripe Inc,US,Consulting
1,06-12-2024 09:40,EUR,980,received,Client GmbH,DE,Upgrade
1,12-12-2024 16:00,INR,48000,received,ABC Pvt Ltd,IN,Retainer
1,18-12-2024 11:15,GBP,700,received,London Co,GB,Marketing
1,22-12-2024 14:50,USD,2600,received,Tech Corp,US,API build
2,02-12-2024 10:25,INR,35000,received,XYZ Solutions,IN,Support
2,07-12-2024 15:00,USD,1700,received,Global LLC,US,Optimization
2,13-12-2024 09:20,EUR,1100,received,Berlin Tech,DE,Audit
2,19-12-2024 13:40,GBP,650,received,UK Ventures,GB,Consulting
2,27-12-2024 17:30,USD,2000,pending,Startup Hub,US,Integration
3,04-12-2024 11:00,EUR,1300,received,Paris SAS,FR,Product
3,09-12-2024 14:45,USD,2800,received,NY Enterprises,US,Contract
3,15-12-2024 08:10,INR,55000,received,FinEdge Pvt Ltd,IN,Advisory
3,21-12-2024 16:25,GBP,500,received,Manchester Ltd,GB,Completion
3,29-12-2024 10:10,USD,2100,received,CloudBase,US,Migration
4,01-12-2024 09:35,INR,62000,received,Delta Systems,IN,Consulting
4,05-12-2024 12:20,USD,2300,received,Silicon LLC,US,Feature
4,11-12-2024 15:50,EUR,890,received,Munich Labs,DE,Prototype
4,17-12-2024 11:30,GBP,980,received,Bristol Co,GB,Design
4,24-12-2024 14:10,USD,1900,received,Alpha Inc,US,Phase 2
1,03-01-2025 10:10,USD,3000,received,Stripe Inc,US,Consulting
1,09-01-2025 15:20,EUR,1150,received,Client GmbH,DE,Maintenance
1,14-01-2025 09:00,INR,50000,received,ABC Pvt Ltd,IN,Retainer
1,20-01-2025 17:40,GBP,750,received,London Co,GB,Campaign
1,28-01-2025 12:00,USD,2700,pending,Tech Corp,US,API Phase 2
2,02-01-2025 11:15,INR,37000,received,XYZ Solutions,IN,Support
2,08-01-2025 16:10,USD,2100,received,Global LLC,US,Analytics
2,16-01-2025 09:25,EUR,1200,received,Berlin Tech,DE,Audit
2,22-01-2025 14:30,GBP,800,received,UK Ventures,GB,Consulting
2,30-01-2025 18:00,USD,2200,received,Startup Hub,US,Integration
3,04-01-2025 10:45,EUR,1400,received,Paris SAS,FR,Product
3,12-01-2025 15:15,USD,3100,received,NY Enterprises,US,Contract
3,18-01-2025 08:40,INR,58000,received,FinEdge Pvt Ltd,IN,Advisory
3,24-01-2025 16:50,GBP,620,received,Manchester Ltd,GB,Completion
3,29-01-2025 11:35,USD,2400,pending,CloudBase,US,Migration
4,01-01-2025 09:10,INR,65000,received,Delta Systems,IN,Consulting
4,06-01-2025 13:00,USD,2500,received,Silicon LLC,US,Feature
4,13-01-2025 15:40,EUR,920,received,Munich Labs,DE,Prototype
4,19-01-2025 12:10,GBP,1050,received,Bristol Co,GB,Design
4,27-01-2025 14:45,USD,2100,received,Alpha Inc,US,Phase 3
1,02-02-2025 10:05,USD,3200,received,Stripe Inc,US,Consulting
1,07-02-2025 15:10,EUR,1250,received,Client GmbH,DE,Maintenance
1,11-02-2025 09:35,INR,52000,received,ABC Pvt Ltd,IN,Retainer
1,17-02-2025 17:20,GBP,880,received,London Co,GB,Campaign
1,25-02-2025 12:30,USD,2900,received,Tech Corp,US,API
2,03-02-2025 11:40,INR,39000,received,XYZ Solutions,IN,Support
2,09-02-2025 16:25,USD,2300,received,Global LLC,US,Analytics
2,15-02-2025 09:10,EUR,1350,received,Berlin Tech,DE,Audit
2,21-02-2025 14:15,GBP,900,received,UK Ventures,GB,Consulting
2,28-02-2025 18:10,USD,2500,received,Startup Hub,US,Integration
3,04-02-2025 10:30,EUR,1500,received,Paris SAS,FR,Product
3,10-02-2025 15:50,USD,3300,received,NY Enterprises,US,Contract
3,18-02-2025 08:25,INR,60000,received,FinEdge Pvt Ltd,IN,Advisory
3,23-02-2025 16:35,GBP,700,received,Manchester Ltd,GB,Completion
3,26-02-2025 11:20,USD,2600,received,CloudBase,US,Migration
4,01-02-2025 09:25,INR,68000,received,Delta Systems,IN,Consulting
4,08-02-2025 13:45,USD,2700,received,Silicon LLC,US,Feature
4,14-02-2025 15:15,EUR,980,received,Munich Labs,DE,Prototype
4,20-02-2025 12:40,GBP,1120,received,Bristol Co,GB,Design
4,27-02-2025 14:55,USD,2300,received,Alpha Inc,US,Phase 3
